DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2-Jan-13,KQ,Kenya Airways Plc,0.8,5.5,11,11.4,11.3,11.4,-0.1,0.88%,"180,500",45.2
3-Jan-13,KQ,Kenya Airways Plc,0.8,5.5,11.05,11.5,11.35,11.3,0.05,0.44%,"100,500",45.4
4-Jan-13,KQ,Kenya Airways Plc,0.8,5,11.15,11.45,11.25,11.35,-0.1,0.88%,"50,400",45
7-Jan-13,KQ,Kenya Airways Plc,0.8,5.5,11,11.5,11.2,11.25,-0.05,0.44%,"47,800",44.8
8-Jan-13,KQ,Kenya Airways Plc,0.8,5.5,11,11.5,11.35,11.2,0.15,1.34%,"56,000",45.4
9-Jan-13,KQ,Kenya Airways Plc,0.8,5,11.1,11.5,11.2,11.35,-0.15,1.32%,"29,100",44.8
10-Jan-13,KQ,Kenya Airways Plc,0.8,5,11.1,12,11.35,11.2,0.15,1.34%,"61,700",45.4
11-Jan-13,KQ,Kenya Airways Plc,0.8,5,11,11.1,11,11.35,-0.35,3.08%,"90,800",44
14-Jan-13,KQ,Kenya Airways Plc,0.8,4.95,10.9,11.2,11.05,11,0.05,0.45%,"73,400",44.2
15-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.9,11.2,11.05,11.05,-,-,"108,200",44.2
16-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.9,11.2,11.05,11.05,-,-,"102,700",44.2
17-Jan-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11.2,11,11.05,-0.05,0.45%,"58,800",44
18-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,11,-0.05,0.45%,"47,700",43.8
21-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.75,11,10.85,10.95,-0.1,0.91%,"157,600",43.4
22-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.75,11,10.95,10.85,0.1,0.92%,"446,700",43.8
23-Jan-13,KQ,Kenya Airways Plc,0.8,4.95,10.9,11,10.95,10.95,-,-,"78,700",43.8
24-Jan-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.9,10.95,-0.05,0.46%,"45,100",43.6
25-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.75,11,10.9,10.9,-,-,"49,400",43.6
28-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.8,11,10.85,10.9,-0.05,0.46%,"53,800",43.4
29-Jan-13,KQ,Kenya Airways Plc,0.8,5,10.7,10.9,10.8,10.85,-0.05,0.46%,"49,600",43.2
30-Jan-13,KQ,Kenya Airways Plc,0.8,4.95,10.7,10.9,10.85,10.8,0.05,0.46%,"39,100",43.4
31-Jan-13,KQ,Kenya Airways Plc,0.8,4.95,10.5,10.9,10.5,10.85,-0.35,3.23%,"570,800",42
1-Feb-13,KQ,Kenya Airways Plc,0.8,4.95,10.5,10.9,10.65,10.5,0.15,1.43%,"149,600",42.6
4-Feb-13,KQ,Kenya Airways Plc,0.8,4.95,10.7,10.9,10.85,10.65,0.2,1.88%,"29,900",43.4
5-Feb-13,KQ,Kenya Airways Plc,0.8,4.98,10.7,10.9,10.85,10.85,-,-,"134,200",43.4
6-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.8,11,10.9,10.85,0.05,0.46%,"200,500",43.6
7-Feb-13,KQ,Kenya Airways Plc,0.8,4.95,10.55,10.9,10.7,10.9,-0.2,1.83%,"94,400",42.8
8-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.55,10.9,10.75,10.7,0.05,0.47%,"96,800",43
11-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.7,10.9,10.8,10.75,0.05,0.47%,"169,700",43.2
12-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.75,11,10.85,10.8,0.05,0.46%,"277,800",43.4
13-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.75,10.9,10.8,10.85,-0.05,0.46%,"71,800",43.2
14-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.7,10.9,10.75,10.8,-0.05,0.46%,"99,300",43
15-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.7,10.8,10.75,10.75,-,-,"131,700",43
18-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.6,10.8,10.6,10.75,-0.15,1.40%,"626,300",42.4
19-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.55,10.8,10.7,10.6,0.1,0.94%,"146,300",42.8
20-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.55,10.75,10.65,10.7,-0.05,0.47%,"162,800",42.6
21-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.55,10.65,10.6,10.65,-0.05,0.47%,"78,100",42.4
22-Feb-13,KQ,Kenya Airways Plc,0.8,5.5,10.6,10.7,10.6,10.6,-,-,"91,200",42.4
25-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.55,10.7,10.65,10.6,0.05,0.47%,"64,500",42.6
26-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.55,10.8,10.65,10.65,-,-,"57,400",42.6
27-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.55,10.7,10.65,10.65,-,-,"175,400",42.6
28-Feb-13,KQ,Kenya Airways Plc,0.8,5,10.6,10.7,10.65,10.65,-,-,"170,400",42.6
1-Mar-13,KQ,Kenya Airways Plc,0.8,5.5,10.5,10.7,10.5,10.65,-0.15,1.41%,"648,800",42
5-Mar-13,KQ,Kenya Airways Plc,0.8,5,10.55,10.65,10.6,10.5,0.1,0.95%,"2,700",42.4
6-Mar-13,KQ,Kenya Airways Plc,0.8,5,10.65,10.9,10.65,10.6,0.05,0.47%,"653,900",42.6
7-Mar-13,KQ,Kenya Airways Plc,0.8,5,10.65,10.9,10.75,10.65,0.1,0.94%,"180,500",43
8-Mar-13,KQ,Kenya Airways Plc,0.8,5.5,10.7,10.9,10.85,10.75,0.1,0.93%,"127,600",43.4
11-Mar-13,KQ,Kenya Airways Plc,0.8,5,10.85,11.1,11,10.85,0.15,1.38%,"983,900",44
12-Mar-13,KQ,Kenya Airways Plc,0.8,5,11.3,12,11.6,11,0.6,5.45%,"1,548,800",46.4
13-Mar-13,KQ,Kenya Airways Plc,0.8,5.5,11.4,11.8,11.55,11.6,-0.05,0.43%,"617,200",46.2
14-Mar-13,KQ,Kenya Airways Plc,0.8,5.5,11,11.5,11.35,11.55,-0.2,1.73%,"312,300",45.4
15-Mar-13,KQ,Kenya Airways Plc,0.8,5,11.05,11.5,11.35,11.35,-,-,"508,100",45.4
18-Mar-13,KQ,Kenya Airways Plc,0.8,4.95,10.7,11.5,11.25,11.35,-0.1,0.88%,"159,300",45
19-Mar-13,KQ,Kenya Airways Plc,0.8,5,11,11.45,11.25,11.25,-,-,"194,300",45
20-Mar-13,KQ,Kenya Airways Plc,0.8,5,10.95,11.4,11.15,11.25,-0.1,0.89%,"215,800",44.6
21-Mar-13,KQ,Kenya Airways Plc,0.8,4.95,10.95,11.4,11.1,11.15,-0.05,0.45%,"155,600",44.4
22-Mar-13,KQ,Kenya Airways Plc,0.8,5.5,10.85,11.1,11,11.1,-0.1,0.90%,"58,900",44
25-Mar-13,KQ,Kenya Airways Plc,0.8,5,10.9,11.1,11,11,-,-,"95,200",44
26-Mar-13,KQ,Kenya Airways Plc,0.8,5,10.5,11,10.95,11,-0.05,0.45%,"360,300",43.8
27-Mar-13,KQ,Kenya Airways Plc,0.8,5.5,10.7,11,10.85,10.95,-0.1,0.91%,"1,959,800",43.4
28-Mar-13,KQ,Kenya Airways Plc,0.8,5.5,10.85,11,10.9,10.85,0.05,0.46%,"466,800",43.6
2-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.95,10.9,0.05,0.46%,"810,900",43.8
3-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.9,11,10.95,10.95,-,-,"168,100",43.8
4-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,10.95,-,-,"460,900",43.8
5-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.8,11,10.9,10.95,-0.05,0.46%,"371,200",43.6
8-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.8,10.95,10.9,10.9,-,-,"314,800",43.6
10-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.95,10.9,0.05,0.46%,"150,200",43.8
11-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.95,10.95,-,-,"300,900",43.8
12-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.95,10.95,-,-,"330,900",43.8
15-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.95,11.2,11,10.95,0.05,0.46%,"703,700",44
16-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.9,11,10.95,11,-0.05,0.45%,"330,800",43.8
17-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.95,10.95,-,-,"221,600",43.8
18-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.95,10.95,-,-,"505,400",43.8
19-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.95,11,10.95,10.95,-,-,"685,300",43.8
22-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,10.95,-,-,"338,100",43.8
23-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,10.95,-,-,"190,700",43.8
24-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,10.95,-,-,"891,500",43.8
25-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.95,11.1,11,10.95,0.05,0.46%,"545,600",44
26-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.95,11.25,11.1,11,0.1,0.91%,"325,200",44.4
29-Apr-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11.1,10.95,11.1,-0.15,1.35%,"832,600",43.8
30-Apr-13,KQ,Kenya Airways Plc,0.8,5,10.9,11,10.95,10.95,-,-,"131,600",43.8
2-May-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,10.95,-,-,"565,800",43.8
3-May-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,10.95,-,-,"689,700",43.8
6-May-13,KQ,Kenya Airways Plc,0.8,5.5,10.9,11,10.9,10.95,-0.05,0.46%,"189,400",43.6
7-May-13,KQ,Kenya Airways Plc,0.8,5,10.95,11,10.95,10.9,0.05,0.46%,"256,300",43.8
8-May-13,KQ,Kenya Airways Plc,0.8,5.5,10.95,11,10.95,10.95,-,-,"206,800",43.8
9-May-13,KQ,Kenya Airways Plc,0.8,5.5,10.95,11,10.95,10.95,-,-,"4,709,300",43.8
10-May-13,KQ,Kenya Airways Plc,0.8,4.95,10.95,11.25,11.1,10.95,0.15,1.37%,"573,700",44.4
13-May-13,KQ,Kenya Airways Plc,0.8,4.95,11.15,11.5,11.35,11.1,0.25,2.25%,"727,500",45.4
